task,model,state,year,shift,acc_src,acc_drop,auc_drop,ap_drop,cov,pred,expl,n_target
income,logreg,CA,2015,temporal,0.7795,0.008874999999999966,0.003033019182727248,-0.030244596281668312,0.013208017462353672,0.023875,0.022651242092251778,8000
income,logreg,CA,2016,temporal,0.7795,0.005375000000000019,-0.0041362373756040904,-0.04467487539079229,0.012650579066119327,0.018375,0.023805703967809677,8000
income,logreg,CA,2017,temporal,0.7795,0.015374999999999917,0.003521135076377746,-0.05282742463281953,0.024063699159631913,0.026375,0.039883047342300415,8000
income,logreg,CA,2018,temporal,0.7795,0.024374999999999925,0.0065221573056464255,-0.0553626428603059,0.027339061512888563,0.0285,0.012162668630480766,8000
income,logreg,TX,2014,geographic,0.7795,0.0031249999999999334,0.008984149980612699,0.023734172609567006,0.10792091817904526,0.042875,0.04103215038776398,8000
income,logreg,TX,2015,combined,0.7795,0.009124999999999939,0.007376267504990874,-0.0016105768836895962,0.0734404109636988,0.031875,0.022169528529047966,8000
income,logreg,TX,2016,combined,0.7795,0.0021249999999999325,0.0001659035873069481,-0.010175379798024409,0.08373727335795866,0.034375,0.008752033114433289,8000
income,logreg,TX,2017,combined,0.7795,0.00737500000000002,0.011474601250063499,0.002619440115683047,0.08949909636393039,0.048625,0.013061175122857094,8000
income,logreg,TX,2018,combined,0.7795,0.016124999999999945,0.015269879640404493,-0.007936238840062781,0.08818691765425912,0.058125,0.07398578524589539,8000
income,logreg,NY,2014,geographic,0.7795,0.021749999999999936,0.019489180178790977,-0.008331068007704334,0.07222503516174394,0.048375,0.03324560448527336,8000
income,logreg,NY,2015,combined,0.7795,0.021625000000000005,0.01631222286866052,-0.009690391597553139,0.10106715426861701,0.047625,0.027327191084623337,8000
income,logreg,NY,2016,combined,0.7795,0.03462500000000002,0.025703200672127835,-0.01764637196739527,0.06874761872856872,0.065,0.0482436865568161,8000
income,logreg,NY,2017,combined,0.7795,0.02574999999999994,0.0148893780739916,-0.04472918688693228,0.07714173632578136,0.068,0.0274643711745739,8000
income,logreg,NY,2018,combined,0.7795,0.03649999999999998,0.0236645086564794,-0.03892677117496346,0.13079857662777195,0.070125,0.05213731527328491,8000
income,logreg,FL,2014,geographic,0.7795,0.017249999999999988,0.025959051003433875,0.0849695591359424,0.04785715625410303,0.055125,0.031871285289525986,8000
income,logreg,FL,2015,combined,0.7795,0.01849999999999996,0.018651886575090426,0.07014019581306441,0.08176726484094865,0.05975,0.03948664292693138,8000
income,logreg,FL,2016,combined,0.7795,0.014499999999999957,0.016647233953696716,0.05692182595609763,0.07419723760886265,0.05825,0.05096523463726044,8000
income,logreg,FL,2017,combined,0.7795,0.02937499999999993,0.034814284314914734,0.050106962534116395,0.09217389912954443,0.073125,0.02925664745271206,8000
income,logreg,FL,2018,combined,0.7795,0.03412499999999996,0.035161189099579104,0.03386807615790188,0.08595843100484446,0.076375,0.040511906147003174,8000
income,logreg,PA,2014,geographic,0.7795,0.0011249999999999316,0.013836312609799006,0.03490699794217733,0.08060350377189862,0.043,0.04698558151721954,8000
income,logreg,PA,2015,combined,0.7795,0.009375000000000022,0.013737843271954708,0.01609756673308982,0.08953946922665157,0.0515,0.056125082075595856,8000
income,logreg,PA,2016,combined,0.7795,0.022625000000000006,0.030329601366589354,0.04019609716431205,0.08342952374309331,0.0535,0.03081444650888443,8000
income,logreg,PA,2017,combined,0.7795,0.021374999999999922,0.024024600329950685,0.02006497250312589,0.09608040643229465,0.056,0.05148852616548538,8000
income,logreg,PA,2018,combined,0.7795,0.02487499999999998,0.022788284688144977,0.0038620041943807637,0.10323485703084989,0.054125,0.06541940569877625,8000
income,logreg,OH,2014,geographic,0.7795,-0.0068750000000000755,0.008595955565189994,0.05178428489434195,0.0832406966412651,0.031875,0.05450665205717087,8000
income,logreg,OH,2015,combined,0.7795,0.0,0.011667020879884915,0.03690799285980817,0.0971101674126984,0.040625,0.0657978504896164,8000
income,logreg,OH,2016,combined,0.7795,0.004249999999999976,0.010638307685629567,0.03324374146862186,0.10515943255092086,0.045,0.07386163622140884,8000
income,logreg,OH,2017,combined,0.7795,0.004874999999999963,0.008128204832482888,0.0018282330051883067,0.07910239074426717,0.050375,0.05321590229868889,8000
income,logreg,OH,2018,combined,0.7795,0.012499999999999956,0.007765945507456573,-0.02380050267097622,0.09318841025402547,0.057875,0.059651799499988556,8000
income,logreg,IL,2014,geographic,0.7795,0.015499999999999958,0.015541739234860796,0.009227765057053583,0.0716845421135528,0.06125,0.016500771045684814,8000
income,logreg,IL,2015,combined,0.7795,0.01824999999999999,0.014271496476922052,-0.0033531137695743674,0.10804729431742155,0.067,0.03595218062400818,8000
income,logreg,IL,2016,combined,0.7795,0.02200000000000002,0.01762246504696996,0.0015361618152427425,0.08432077700485618,0.069625,0.044658295810222626,8000
income,logreg,IL,2017,combined,0.7795,0.027000000000000024,0.01694338529357331,-0.020417629540840143,0.10275017579301982,0.0725,0.06181846559047699,8000
income,logreg,IL,2018,combined,0.7795,0.03587499999999999,0.025748744666123646,-0.017879060430994076,0.07465168746074857,0.074375,0.026341000571846962,8000
income,logreg,GA,2014,geographic,0.7795,0.0017499999999999183,0.0024932378350410733,0.03523081868691358,0.025189075630251967,0.051625,0.024311766028404236,8000
income,logreg,GA,2015,combined,0.7795,0.010874999999999968,0.013037651390112703,0.049164093519022845,0.033196436943272456,0.0485,0.034211162477731705,8000
income,logreg,GA,2016,combined,0.7795,0.005375000000000019,0.005841496736163854,0.0004280001329564076,0.0398199335176066,0.0615,0.04321561008691788,8000
income,logreg,GA,2017,combined,0.7795,0.01012499999999994,0.007010261498543446,-0.009426743592717668,0.0642207477876815,0.06175,0.03916926309466362,8000
income,logreg,GA,2018,combined,0.7795,0.01824999999999999,0.013411535645803552,-0.007151716589463897,0.08281145181450245,0.073875,0.03849852830171585,8000
income,logreg,NC,2014,geographic,0.7795,0.008624999999999994,0.0072968578292154085,0.051065748694098634,0.0496602556201764,0.057625,0.0333123505115509,8000
income,logreg,NC,2015,combined,0.7795,0.022374999999999923,0.01914404929723801,0.07386060452496535,0.0531967475625843,0.06825,0.031006120145320892,8000
income,logreg,NC,2016,combined,0.7795,0.015625,0.01300783638258085,0.03847236002904031,0.012793878704986827,0.0705,0.05135229229927063,8000
income,logreg,NC,2017,combined,0.7795,0.02949999999999997,0.028365622975846327,0.06309964179776328,0.06410860610909364,0.083,0.059597428888082504,8000
income,logreg,NC,2018,combined,0.7795,0.015625,0.016940041628502267,0.018848298737721203,0.044908872721818094,0.079125,0.03961165249347687,8000
income,logreg,WA,2014,geographic,0.7795,0.022625000000000006,0.01838828039239626,0.001895443371208172,0.07353204412817638,0.066875,0.04886005073785782,8000
