task,model,state,year,shift,n_target,ace_iso_tgt,acc_src,auc_src,ap_src,brier_src,ace_src,dp_sex_src,eo_sex_src,dp_rac_src,eo_rac_src,acc_tgt,auc_tgt,ap_tgt,brier_tgt,ace_tgt,dp_sex_tgt,eo_sex_tgt,dp_rac_tgt,eo_rac_tgt
income,logreg,CA,2015,temporal,8000,0.022661082679638636,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.770625,0.8414873666666667,0.7192754351024716,0.1569048765866349,0.03143195532754817,0.06510197251885058,0.01136030765329564,0.05962422969116604,0.022758117437576775
income,logreg,CA,2016,temporal,8000,0.025788624766049907,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.774125,0.848656623224998,0.7337057142115956,0.15430698445131846,0.03828408561075414,0.06707773826365604,0.020043039522864278,0.05507723622352456,0.017948617987191925
income,logreg,CA,2017,temporal,8000,0.039944689371157444,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.764125,0.8409992507730162,0.7418582634536228,0.16033120952285737,0.03729352991413681,0.06079683201803765,0.013040213878118073,0.06338890199470526,0.02282521263411147
income,logreg,CA,2018,temporal,8000,0.049916178266284986,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.755125,0.8379982285437475,0.7443934816811092,0.16380356642034746,0.0491669285555281,0.05744007480174007,0.005669443147862052,0.07331029827820584,0.03004521938855015
income,logreg,TX,2014,geographic,8000,0.05425953396898694,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.776375,0.8355362358687812,0.6652966662112363,0.15528281141502742,0.06672290838997652,0.08267619971284534,0.02711676921423241,0.09245848849414556,0.044444713721080636
income,logreg,TX,2015,combined,8000,0.03431377810263077,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.770375,0.837144118344403,0.6906414157044929,0.15446885422810216,0.04403160088586083,0.08486511953084463,0.01048692524438917,0.07718229127904769,0.03590665858403533
income,logreg,TX,2016,combined,8000,0.03688723766943439,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.777375,0.844354482262087,0.6992062186188277,0.1509670568182669,0.04526347159901342,0.07153446455347545,0.008213616067054508,0.0713631540783135,0.027025544006769348
income,logreg,TX,2017,combined,8000,0.034640283660730346,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.772125,0.8330457845993304,0.6864113987051202,0.15753266158154886,0.04544166518782823,0.09937385813986616,0.006263497415705269,0.07339123085990062,0.029006770812105218
income,logreg,TX,2018,combined,8000,0.022671864152187485,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.763375,0.8292505062089894,0.6969670776608661,0.16128551252619058,0.02848673867144589,0.07332592770042301,0.007575585393539627,0.05828186254280421,0.008787752452485642
income,logreg,NY,2014,geographic,8000,0.023478731774725023,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.75775,0.825031205670603,0.6973619068285076,0.16292458042499217,0.019259113585460893,0.046412386603096656,0.0015299772523529598,0.12896078782195822,0.07376152171868924
