task,model,state,year,shift,atc,doc,acc_drop_check
income,logreg,CA,2015,temporal,0.015000000000000013,0.004940986633300781,0.008874999999999966
income,logreg,CA,2016,temporal,0.004749999999999921,0.003605067729949951,0.005375000000000019
income,logreg,CA,2017,temporal,0.008874999999999966,0.006579101085662842,0.015374999999999917
income,logreg,CA,2018,temporal,0.008874999999999966,0.006758570671081543,0.024374999999999925
income,logreg,TX,2014,geographic,0.01824999999999999,0.008418798446655273,0.0031249999999999334
income,logreg,TX,2015,combined,0.0063750000000000195,0.005466043949127197,0.009124999999999939
income,logreg,TX,2016,combined,0.015000000000000013,0.0063710808753967285,0.0021249999999999325
income,logreg,TX,2017,combined,0.021625000000000005,0.010103404521942139,0.00737500000000002
income,logreg,TX,2018,combined,0.02474999999999994,0.012875616550445557,0.016124999999999945
income,logreg,NY,2014,geographic,0.02287499999999998,0.014034628868103027,0.021749999999999936
income,logreg,NY,2015,combined,0.020749999999999935,0.01371544599533081,0.021625000000000005
income,logreg,NY,2016,combined,0.03125,0.017545759677886963,0.03462500000000002
income,logreg,NY,2017,combined,0.026000000000000023,0.018555939197540283,0.02574999999999994
income,logreg,NY,2018,combined,0.025499999999999967,0.018527567386627197,0.03649999999999998
income,logreg,FL,2014,geographic,0.029124999999999956,0.01828867197036743,0.017249999999999988
income,logreg,FL,2015,combined,0.030124999999999957,0.018558502197265625,0.01849999999999996
income,logreg,FL,2016,combined,0.02949999999999997,0.017376482486724854,0.014499999999999957
income,logreg,FL,2017,combined,0.02949999999999997,0.02284872531890869,0.02937499999999993
income,logreg,FL,2018,combined,0.03587499999999999,0.022691309452056885,0.03412499999999996
income,logreg,PA,2014,geographic,0.017874999999999974,0.013833880424499512,0.0011249999999999316
income,logreg,PA,2015,combined,0.020000000000000018,0.014010846614837646,0.009375000000000022
income,logreg,PA,2016,combined,0.029749999999999943,0.01850593090057373,0.022625000000000006
income,logreg,PA,2017,combined,0.03499999999999992,0.019930720329284668,0.021374999999999922
income,logreg,PA,2018,combined,0.021874999999999978,0.017272591590881348,0.02487499999999998
income,logreg,OH,2014,geographic,0.003874999999999962,0.00965869426727295,-0.0068750000000000755
income,logreg,OH,2015,combined,0.02400000000000002,0.015359878540039062,0.0
income,logreg,OH,2016,combined,0.025249999999999995,0.017319798469543457,0.004249999999999976
income,logreg,OH,2017,combined,0.03299999999999992,0.018884658813476562,0.004874999999999963
income,logreg,OH,2018,combined,0.03249999999999997,0.018850862979888916,0.012499999999999956
income,logreg,IL,2014,geographic,0.036374999999999935,0.019312024116516113,0.015499999999999958
income,logreg,IL,2015,combined,0.03412499999999996,0.019549965858459473,0.01824999999999999
income,logreg,IL,2016,combined,0.03799999999999992,0.022508859634399414,0.02200000000000002
income,logreg,IL,2017,combined,0.03387499999999999,0.02220088243484497,0.027000000000000024
income,logreg,IL,2018,combined,0.03674999999999995,0.02114945650100708,0.03587499999999999
income,logreg,GA,2014,geographic,0.018749999999999933,0.01384812593460083,0.0017499999999999183
income,logreg,GA,2015,combined,0.019874999999999976,0.01384645700454712,0.010874999999999968
income,logreg,GA,2016,combined,0.02112499999999995,0.016710400581359863,0.005375000000000019
income,logreg,GA,2017,combined,0.026499999999999968,0.015052378177642822,0.01012499999999994
income,logreg,GA,2018,combined,0.02774999999999994,0.01798933744430542,0.01824999999999999
income,logreg,NC,2014,geographic,0.029874999999999985,0.01796180009841919,0.008624999999999994
income,logreg,NC,2015,combined,0.03587499999999999,0.022083699703216553,0.022374999999999923
income,logreg,NC,2016,combined,0.032749999999999946,0.02040940523147583,0.015625
income,logreg,NC,2017,combined,0.04062500000000002,0.024294495582580566,0.02949999999999997
income,logreg,NC,2018,combined,0.027124999999999955,0.021745383739471436,0.015625
income,logreg,WA,2014,geographic,0.03774999999999995,0.020500123500823975,0.022625000000000006
income,logreg,WA,2015,combined,0.04037499999999994,0.02161705493927002,0.03249999999999997
income,logreg,WA,2016,combined,0.03499999999999992,0.021541953086853027,0.023249999999999993
income,logreg,WA,2017,combined,0.04049999999999998,0.023037970066070557,0.041749999999999954
income,logreg,WA,2018,combined,0.03887499999999999,0.02294480800628662,0.03149999999999997
income,logreg,AZ,2014,geographic,0.020874999999999977,0.011204957962036133,0.016625
income,logreg,AZ,2015,combined,0.016874999999999973,0.009933948516845703,0.00737500000000002
income,logreg,AZ,2016,combined,0.018874999999999975,0.011841416358947754,0.010375000000000023
income,logreg,AZ,2017,combined,0.02300000000000002,0.009856343269348145,0.002749999999999919
income,logreg,AZ,2018,combined,0.025499999999999967,0.014944970607757568,0.018000000000000016
income,logreg,MA,2014,geographic,0.016625,0.011335372924804688,0.008874999999999966
